trading_name,x_coordinate,y_coordinate,block_id,clue_small_area,property_id,type
Roy's Cafe,144.9656241,-37.80080042,246,Carlton,104449,restaurant
Zuppa,144.9578132,-37.81636534,42,Melbourne (CBD),110095,restaurant
Donoghue's ,144.9560169,-37.8134766,72,Melbourne (CBD),105726,restaurant
Subway,144.9634979,-37.81592157,34,Melbourne (CBD),103176,restaurant
Funk Fish,144.9572395,-37.80745984,113,Melbourne (CBD),110688,restaurant
La Di Da,144.9556244,-37.81551353,52,Melbourne (CBD),592048,restaurant
Hopscotch,144.9633758,-37.82092509,801,Southbank,110326,restaurant
Viet St,144.9629844,-37.81570426,34,Melbourne (CBD),110669,restaurant
Yo-Chi,144.9680207,-37.79844782,217,Carlton,103704,restaurant
Origami Sushi & Noodles ,144.947217,-37.81817241,1103,Docklands,599505,restaurant
The Pavilion,144.9804557,-37.81296163,619,East Melbourne,111456,restaurant
Sumo Salad,144.9523393,-37.81815358,1101,Docklands,108973,restaurant
Riverside Deli & Coffee House,144.9582721,-37.81974184,12,Melbourne (CBD),103997,restaurant
Di Bella Coffee,144.9505945,-37.80447359,354,North Melbourne,105606,restaurant
Yeonga,144.956923,-37.80560474,360,North Melbourne,102034,restaurant
Amigos Hardware Lane,144.9608667,-37.8131434,64,Melbourne (CBD),104660,restaurant
Turf Club Hotel ,144.9563792,-37.80130394,375,North Melbourne,103809,restaurant
Degani At Urban Workshop,144.9707325,-37.8091842,78,Melbourne (CBD),603923,restaurant
University High School Canteen,144.9560633,-37.79746671,921,Parkville,109209,restaurant
Alice Nevins,144.9665517,-37.81724878,15,Melbourne (CBD),104014,restaurant
Goldilocks,144.9651474,-37.81181063,66,Melbourne (CBD),109390,restaurant
Blu Point Caffe,144.9664575,-37.80822377,97,Melbourne (CBD),588500,restaurant
Elceed Cafe,144.9471385,-37.80252643,333,North Melbourne,107975,restaurant
Sea Salt,144.9656264,-37.81760781,15,Melbourne (CBD),104010,restaurant
Domino's Pizza,144.9651037,-37.80077102,245,Carlton,104450,restaurant
Meyers Place Bar,144.9723505,-37.81207814,48,Melbourne (CBD),106559,restaurant
"The Attic, Artisan Bread And Cafe",144.9561073,-37.81571393,52,Melbourne (CBD),101172,restaurant
North Melbourne Takeaway & Snack Bar,144.9429106,-37.80428921,340,North Melbourne,102788,restaurant
Taco Bill,144.9315233,-37.79484451,513,Kensington,103033,restaurant
3 Lt Monkeys,144.9655966,-37.8166033,25,Melbourne (CBD),101789,restaurant
Eat Pizza Flinders Street,144.9565185,-37.82099397,1,Melbourne (CBD),611394,restaurant
Cafe On Collins,144.9638231,-37.81662708,24,Melbourne (CBD),110762,restaurant
Chiara,144.9511863,-37.82096812,1105,Docklands,605909,restaurant
Draculas,144.964176,-37.80649729,265,Carlton,109848,restaurant
Jung Gun Restaurant,144.9560169,-37.8134766,72,Melbourne (CBD),110708,restaurant
Father John Cafe,144.9720594,-37.81012699,68,Melbourne (CBD),108989,restaurant
Bouverie Deli,144.9627288,-37.8013409,243,Carlton,105654,restaurant
Smile Thai Restaurant,144.949623,-37.80538734,423,West Melbourne (Residential),109719,restaurant
Chi Cafe,144.9881385,-37.81042804,612,East Melbourne,100373,restaurant
Jerry's Burgers 'n' Fries,144.9299704,-37.79424521,2524,Kensington,616011,restaurant
Fatto Bar & Cantina,144.9682264,-37.82094188,752,Southbank,110734,restaurant
Kaprica,144.9627813,-37.80336259,256,Carlton,518847,restaurant
1932 Cafe & Restaurant,144.9661258,-37.81528474,35,Melbourne (CBD),109267,restaurant
Oshin Sushi Bar,144.9585626,-37.7849288,906,Parkville,108505,restaurant
Hudsons Elizabeth Street,144.9641934,-37.81591326,35,Melbourne (CBD),103325,restaurant
Feast @ 520,144.9572629,-37.81780327,32,Melbourne (CBD),102116,restaurant
KL Bunga Raya,144.9497225,-37.80435713,354,North Melbourne,103520,restaurant
Sakura Kaiten Sushi,144.9716953,-37.81309819,38,Melbourne (CBD),105913,restaurant
Koko Black Chocolate,144.9718392,-37.81355886,38,Melbourne (CBD),102165,restaurant
The Corkman Irish Pub,144.960916,-37.80243195,257,Carlton,105516,restaurant
Entrecote City,144.9702813,-37.8139675,37,Melbourne (CBD),102157,restaurant
Harry's At Stamford ,144.9697676,-37.8136886,37,Melbourne (CBD),105915,restaurant
Iseya Icecream Bar And Cafe,144.9615299,-37.81884626,13,Melbourne (CBD),104002,restaurant
Mr Price's Food Store,144.9506624,-37.8028658,369,North Melbourne,108001,restaurant
Waterfront Venues,144.9390269,-37.81517782,1109,Docklands,601809,restaurant
Healthy Nibbles Cafe,144.9707149,-37.81005686,68,Melbourne (CBD),105672,restaurant
Earl Canteen,144.9557275,-37.81902044,21,Melbourne (CBD),579252,restaurant
Randy Dragon,144.9638507,-37.81763918,14,Melbourne (CBD),103946,restaurant
Little Colin,144.9600859,-37.81638558,33,Melbourne (CBD),105937,restaurant
Twenty & Six Espresso,144.9475392,-37.80257072,333,North Melbourne,107981,restaurant
Spinifex Cafe,144.9300585,-37.79405204,2524,Kensington,616030,restaurant
Grilled 118,144.9666993,-37.80443778,252,Carlton,574431,restaurant
Romeo Takeaway Cafe,144.9572395,-37.80745984,113,Melbourne (CBD),110679,restaurant
Taiwan Cafe,144.9645317,-37.81185964,65,Melbourne (CBD),109300,restaurant
Footlights Restaurant,144.96853,-37.81098009,67,Melbourne (CBD),105679,restaurant
Karelay Patisserie,144.9300805,-37.79395787,2524,Kensington,616033,restaurant
Lily Blacks,144.972451,-37.81221617,48,Melbourne (CBD),106560,restaurant
Mediterranean Deli,144.9707087,-37.81358646,37,Melbourne (CBD),102161,restaurant
Rustica Canteen,144.9598612,-37.81146107,84,Melbourne (CBD),104560,restaurant
Hudson's Coffee,144.9720594,-37.81012699,68,Melbourne (CBD),108989,restaurant
Melbourne Exhibition Centre,144.9523782,-37.82539976,804,Southbank,623557,restaurant
Red Silks Restaurant & Bar,144.9672768,-37.8124312,56,Melbourne (CBD),101204,restaurant
Movida Aqui,144.9587607,-37.81494883,53,Melbourne (CBD),101176,restaurant
Percys Grainger Museum Cafe,144.9612468,-37.79739836,270,Parkville,664629,restaurant
Ratee Thai,144.9665517,-37.81724878,15,Melbourne (CBD),104014,restaurant
Townhall Hotel North Melbourne,144.9489068,-37.80414139,345,North Melbourne,103402,restaurant
Subway,144.9762096,-37.836275,710,Melbourne (Remainder),108625,restaurant
Om Vegetarian,144.9663304,-37.81584476,25,Melbourne (CBD),102079,restaurant
Fawkner Park Tennis Centre,144.9800012,-37.83804253,866,South Yarra,110944,restaurant
Seven Star Korea,144.9560169,-37.8134766,72,Melbourne (CBD),110708,restaurant
Man Mo @ Wtc,144.9536422,-37.82253633,131,Docklands,103978,restaurant
Left Bank Melbourne,144.9628914,-37.8210403,801,Southbank,110335,restaurant
Tipo 00,144.9619926,-37.81358648,54,Melbourne (CBD),105844,restaurant
Coffea Coffee,144.9572395,-37.80745984,113,Melbourne (CBD),110690,restaurant
La Belle Miette,144.9732575,-37.81314231,38,Melbourne (CBD),102172,restaurant
Replay cafe,144.9401994,-37.81427742,1109,Docklands,601815,restaurant
KL Bunga Raya,144.9497225,-37.80435713,354,North Melbourne,103520,restaurant
Killiney Kopitiam ,144.9666993,-37.80443778,252,Carlton,111064,restaurant
Spicy Korea,144.9549054,-37.81802782,31,Melbourne (CBD),105945,restaurant
Tazio Birraria & Pizzeria,144.9726281,-37.81430616,28,Melbourne (CBD),102063,restaurant
Panda Loves Fish,144.9458305,-37.821044,1108,Docklands,613252,restaurant
Mag Nation Pty Ltd,144.9642408,-37.81584627,35,Melbourne (CBD),103324,restaurant
Carlton Fish & Chips,144.9711835,-37.79518777,226,Carlton,108229,restaurant
Merchant Osteria Veneta,144.9581185,-37.81853877,22,Melbourne (CBD),102103,restaurant
Nashi,144.9726281,-37.81430616,28,Melbourne (CBD),102063,restaurant
Jauja ,144.9671514,-37.80123703,247,Carlton,106228,restaurant
Souperman Cafe,144.9607949,-37.81236842,74,Melbourne (CBD),105739,restaurant
Blue Bag,144.962154,-37.82167834,802,Southbank,575820,restaurant
Cafe Chinotto,144.9699175,-37.81784465,6,Melbourne (CBD),578322,restaurant
Blue Bag,144.9715746,-37.81501535,27,Melbourne (CBD),103968,restaurant
Melbourne Dae Jang Geum Korean BBQ,144.9658365,-37.81296443,56,Melbourne (CBD),101199,restaurant
Dr Dax Kitchen,144.9612468,-37.79739836,270,Parkville,636694,restaurant
Tropicana Juice Bar,144.962548,-37.81354034,54,Melbourne (CBD),103184,restaurant
Cafe Lansdowne,144.9781229,-37.80904405,646,East Melbourne,105432,restaurant
Memphis Blues Cafe,144.9349411,-37.79900382,505,Kensington,100508,restaurant
Alliance Catering,144.9670117,-37.8229657,814,Southbank,110339,restaurant
French Fix,144.9597543,-37.81355361,63,Melbourne (CBD),108079,restaurant
Fukutontei,144.9670695,-37.80992238,77,Melbourne (CBD),108570,restaurant
Neapoli Wine Bar,144.9674275,-37.81355434,46,Melbourne (CBD),111394,restaurant
Famish'd,144.9578132,-37.81636534,42,Melbourne (CBD),110095,restaurant
Society Cafe,144.9723947,-37.81181007,48,Melbourne (CBD),101106,restaurant
Cafenatics,144.957114,-37.81123723,93,Melbourne (CBD),105473,restaurant
Caffe Cino,144.9523782,-37.82539976,804,Southbank,623559,restaurant
Charles LaTrobe Coffee Co,144.9580529,-37.81075363,93,Melbourne (CBD),105477,restaurant
In a Rush,144.9701092,-37.81281453,47,Melbourne (CBD),602997,restaurant
Ghin Khao,144.9653591,-37.81218452,66,Melbourne (CBD),109395,restaurant
Naked Espresso Bar,144.9610735,-37.81359799,64,Melbourne (CBD),105869,restaurant
Cafe Ella,144.9803782,-37.84685298,724,Melbourne (Remainder),108650,restaurant
Maha Bar & Grill,144.9625299,-37.81819275,14,Melbourne (CBD),108115,restaurant
Hawker Boys,144.9606809,-37.81303978,64,Melbourne (CBD),105707,restaurant
Caboose Canteen,144.9674304,-37.81584777,26,Melbourne (CBD),109418,restaurant
Il Gambero On The Park ,144.9668138,-37.803305,252,Carlton,106242,restaurant
Sun Moth Canteen & Bar,144.9614648,-37.81291055,64,Melbourne (CBD),105704,restaurant
Robot Sushi & Bar,144.9638971,-37.81719967,24,Melbourne (CBD),110765,restaurant
Black Cod,144.947217,-37.81817241,1103,Docklands,599505,restaurant
Earl Canteen,144.9638386,-37.81245199,65,Melbourne (CBD),105698,restaurant
Papa Goose / Mary Fortune Cocktail Bar,144.9712228,-37.81543506,17,Melbourne (CBD),103921,restaurant
In Season Thai Cuisine,144.9519704,-37.80566937,424,West Melbourne (Residential),109699,restaurant
Brim CC,144.9549054,-37.81802782,31,Melbourne (CBD),105945,restaurant
Hanabishi Japanese Restaurant,144.9551249,-37.81579101,51,Melbourne (CBD),105305,restaurant
Avist Cafe ,144.9527053,-37.79844295,378,North Melbourne,103824,restaurant
Squires Loft Dockland,144.943969,-37.81927362,1108,Docklands,604124,restaurant
The Little Mule Cafe,144.9623885,-37.81379815,54,Melbourne (CBD),108818,restaurant
Asian Pavillion ,144.9726281,-37.81430616,28,Melbourne (CBD),102063,restaurant
Gochi,144.9586604,-37.82312164,803,Southbank,111175,restaurant
Ants Bistro,144.9679947,-37.81132789,67,Melbourne (CBD),108582,restaurant
Saki Sushi Bar,144.9731836,-37.81260039,38,Melbourne (CBD),108982,restaurant
French Saloon,144.9613283,-37.81354346,64,Melbourne (CBD),105870,restaurant
Gekkazan,144.9632879,-37.81360425,55,Melbourne (CBD),101193,restaurant
Punthill Melbourne Northbank / Mini Bar,144.9557665,-37.82061096,11,Melbourne (CBD),103986,restaurant
Village Kiosk,144.9514349,-37.78428452,931,Parkville,110273,restaurant
Pure South Dining,144.9662623,-37.82066923,753,Southbank,110606,restaurant
Hungry Jack's,144.9677867,-37.81264684,56,Melbourne (CBD),101208,restaurant
Pronto On Flinders,144.9632258,-37.81784765,14,Melbourne (CBD),103950,restaurant
Lua Bakery,144.9564217,-37.81365662,72,Melbourne (CBD),105727,restaurant
The Cupcake Queens,144.9770428,-37.83774553,720,Melbourne (Remainder),108627,restaurant
Cafe 555,144.9528962,-37.81327283,81,Melbourne (CBD),561680,restaurant
Caffe Duomo,144.9645574,-37.81567229,35,Melbourne (CBD),102141,restaurant
Locale Coffee,144.9793123,-37.84459479,760,Melbourne (Remainder),108645,restaurant
Clyde Hotel,144.9657541,-37.79725532,204,Carlton,101613,restaurant
Anchor Espresso,144.9627098,-37.81858716,14,Melbourne (CBD),104003,restaurant
Crumbs Organic Bakehouse,144.9496466,-37.80471334,354,North Melbourne,103524,restaurant
Riverland Bar,144.9689349,-37.81865919,6,Melbourne (CBD),110655,restaurant
Andrews Hamburger,144.9595755,-37.80904835,104,Melbourne (CBD),104084,restaurant
Docklands Lotus Restaurant,144.9436836,-37.81389091,1109,Docklands,584059,restaurant
New Guernica,144.9640121,-37.81488174,45,Melbourne (CBD),105960,restaurant
Ajisen Ramen,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Cafe Kinetic,144.9709643,-37.81556733,17,Melbourne (CBD),103923,restaurant
Burger Edge,144.9798191,-37.8455379,724,Melbourne (Remainder),108646,restaurant
Two Fish Seafood Cafe,144.95955,-37.81660734,33,Melbourne (CBD),105938,restaurant
The Journal Canteen/Oskars Kitchen,144.9659028,-37.81706291,15,Melbourne (CBD),103942,restaurant
James Squire,144.9390269,-37.81517782,1109,Docklands,601810,restaurant
The Nixon Hotel,144.9479753,-37.81925128,1104,Docklands,576024,restaurant
Melbourne Public,144.9523782,-37.82539976,804,Southbank,623559,restaurant
A25,144.9606809,-37.81303978,64,Melbourne (CBD),105707,restaurant
Princes Park Bowling Club,144.9613973,-37.78509079,274,Carlton,107698,restaurant
Halyard Coffee,144.947217,-37.81817241,1103,Docklands,599505,restaurant
Garden State Hotel,144.9711039,-37.81553247,17,Melbourne (CBD),103922,restaurant
Woo-Ga,144.9573902,-37.80580455,361,North Melbourne,109837,restaurant
QT Melbourne,144.967831,-37.81342885,46,Melbourne (CBD),108537,restaurant
Subway,144.964608,-37.81805666,14,Melbourne (CBD),103165,restaurant
Square & Compass,144.9841154,-37.80970632,613,East Melbourne,102002,restaurant
Meat Market South Wharf,144.9503336,-37.82409303,804,Southbank,110988,restaurant
Solah,144.9799791,-37.80919457,621,East Melbourne,109655,restaurant
Epicure Kitchen Cafe,144.9802844,-37.84659007,724,Melbourne (Remainder),108649,restaurant
Cafe Trutrack,144.9514854,-37.80284239,368,North Melbourne,105635,restaurant
Kanda Sushi Noodle Bar,144.9596443,-37.81107017,84,Melbourne (CBD),105454,restaurant
Le Petite Creperie,144.9617562,-37.81416355,54,Melbourne (CBD),101187,restaurant
Punch Lane Wine Bar/Restaurant,144.971363,-37.81092017,58,Melbourne (CBD),105830,restaurant
Cafenatics Equitable Place,144.9633433,-37.81611256,34,Melbourne (CBD),102137,restaurant
Cafe Sabor,144.949581,-37.80489366,354,North Melbourne,103526,restaurant
Thailander,144.9605354,-37.8162542,33,Melbourne (CBD),105933,restaurant
Butcher Shop Cafe,144.945578,-37.8080043,415,West Melbourne (Residential),104762,restaurant
St2 Expresso,144.965473,-37.80671528,266,Carlton,534003,restaurant
Lonsdale Coffee Delight,144.9715313,-37.80981882,68,Melbourne (CBD),105668,restaurant
Cafe 198,144.9449612,-37.81396231,1102,Docklands,609314,restaurant
O-Bento,144.9467679,-37.81384049,1102,Docklands,631646,restaurant
The Elephant and Wheelbarrow,144.9702485,-37.81191058,57,Melbourne (CBD),101221,restaurant
Lupino,144.9723932,-37.81279876,38,Melbourne (CBD),105912,restaurant
The Australian Club,144.9591218,-37.81674542,33,Melbourne (CBD),110148,restaurant
Don Don Japanese Restaurant,144.9558446,-37.81824465,31,Melbourne (CBD),102113,restaurant
Spicy Fish Restaurant,144.9662952,-37.81272047,56,Melbourne (CBD),101200,restaurant
In Zone Cafe,144.9543659,-37.81818484,31,Melbourne (CBD),108968,restaurant
Kanda Sushi Noodle Bar,144.9596443,-37.81107017,84,Melbourne (CBD),105454,restaurant
Beluga At Chevron ,144.9798191,-37.8455379,724,Melbourne (Remainder),108646,restaurant
St2 Expresso,144.965473,-37.80671528,266,Carlton,534003,restaurant
Royal Standard Hotel,144.9542537,-37.80781408,437,West Melbourne (Residential),110111,restaurant
Grill'd Healthy Burgers,144.9617817,-37.81367176,54,Melbourne (CBD),105846,restaurant
Cafe 409,144.9767624,-37.8373358,720,Melbourne (Remainder),108626,restaurant
The Museum Cafe,144.9716355,-37.80401886,250,Carlton,623345,restaurant
Cheeky Brothers,144.9358418,-37.7914562,2540,Kensington,617955,restaurant
Podium,144.9618657,-37.80689662,115,Melbourne (CBD),110747,restaurant
LB2,144.956774,-37.81695942,42,Melbourne (CBD),105949,restaurant
Elements Catering (Kiosk),144.9693797,-37.81398457,37,Melbourne (CBD),102155,restaurant
Tutto Premium Frozen Yogurt And Dessert ,144.9661325,-37.8011023,246,Carlton,104447,restaurant
Gold Leaf Harbour View Restaurant Pty Ltd,144.9378299,-37.81315031,1110,Docklands,620312,restaurant
Southern China Style Cuisine,144.943969,-37.81927362,1108,Docklands,604124,restaurant
Bruce Lee Sushi & Roll,144.9570408,-37.8146364,62,Melbourne (CBD),110099,restaurant
Assembly Store,144.9673351,-37.80262561,247,Carlton,107558,restaurant
Koko Black,144.964049,-37.81458812,45,Melbourne (CBD),101144,restaurant
Princess Theatre ,144.9723266,-37.81072571,58,Melbourne (CBD),108987,restaurant
The Basement Cafe,144.9592776,-37.81067976,94,Melbourne (CBD),105481,restaurant
Sakura Sushi Bar,144.9378299,-37.81315031,1110,Docklands,620308,restaurant
Pimm Thai Cafe,144.9299154,-37.79353782,2524,Kensington,616049,restaurant
El Rincon,144.9572395,-37.80745984,113,Melbourne (CBD),110688,restaurant
Counter,144.9500275,-37.80247547,369,North Melbourne,575151,restaurant
City Grill Room,144.9560169,-37.8134766,72,Melbourne (CBD),110708,restaurant
Sushi Hut,144.9629844,-37.81570426,34,Melbourne (CBD),110669,restaurant
Windsor Hotel,144.9729245,-37.81199351,48,Melbourne (CBD),108983,restaurant
Uni Square Cafe,144.9610729,-37.80239254,257,Carlton,525988,restaurant
Paco's Tacos,144.9587607,-37.81494883,53,Melbourne (CBD),101176,restaurant
Saigon Pho Carlton,144.9666993,-37.80443778,252,Carlton,111068,restaurant
In A Rush Espresso,144.9523393,-37.81815358,1101,Docklands,108973,restaurant
Little League,144.9674801,-37.80876614,87,Melbourne (CBD),105441,restaurant
Somethin Fishy / 3 Munchies,144.9609484,-37.81131629,84,Melbourne (CBD),650594,restaurant
Tong Fu Garden Melbourne,144.9444471,-37.80624547,413,West Melbourne (Residential),568593,restaurant
Crossways Food For Life,144.9658852,-37.81482941,35,Melbourne (CBD),109270,restaurant
The Beggar's Bowl,144.9658443,-37.82222503,812,Southbank,110355,restaurant
Manchuria,144.9669911,-37.81162502,66,Melbourne (CBD),109952,restaurant
Cafenatics,144.957114,-37.81123723,93,Melbourne (CBD),105473,restaurant
Dome Bakery Cafe,144.9479753,-37.81925128,1104,Docklands,576024,restaurant
Rice Too Asian Cuisine,144.9532514,-37.81166257,91,West Melbourne (Residential),105325,restaurant
Bouverie Deli,144.9627288,-37.8013409,243,Carlton,105654,restaurant
The Mint Bar & Restaurant,144.9573609,-37.81209045,83,Melbourne (CBD),110759,restaurant
Providence Cafe & Eatery,144.9706731,-37.79365073,212,Carlton,633373,restaurant
Salero Kito Padang Melbourne,144.9665978,-37.81376503,46,Melbourne (CBD),101137,restaurant
Little Bean Blue,144.9731836,-37.81260039,38,Melbourne (CBD),108982,restaurant
Mad Mex,144.9701092,-37.81281453,47,Melbourne (CBD),602997,restaurant
The Mug House,144.9597623,-37.81703239,33,Melbourne (CBD),102124,restaurant
Hopetoun Tea Rooms,144.9645574,-37.81567229,35,Melbourne (CBD),102141,restaurant
5 Lire,144.9500956,-37.802235,369,North Melbourne,103498,restaurant
Wonton House,144.967512,-37.81222178,56,Melbourne (CBD),108542,restaurant
Becco,144.9710142,-37.81143018,58,Melbourne (CBD),102268,restaurant
Pok Pok Junior,144.9578132,-37.81636534,42,Melbourne (CBD),110095,restaurant
Hortus x Seven Seeds,144.9452948,-37.81711584,1108,Docklands,611786,restaurant
Rakuzen Simple Japanese ,144.9651037,-37.80077102,245,Carlton,104450,restaurant
Time Out Cafe,144.9699175,-37.81784465,6,Melbourne (CBD),578323,restaurant
Villa Romana,144.9673242,-37.80137656,247,Carlton,106229,restaurant
Grill'd ,144.9656264,-37.81760781,15,Melbourne (CBD),104010,restaurant
Spiga,144.9630189,-37.81073331,85,Melbourne (CBD),105746,restaurant
Platform 28,144.9498213,-37.81921015,1105,Docklands,609488,restaurant
Gourmet Curry Hut,144.9640121,-37.81488174,45,Melbourne (CBD),105960,restaurant
Bourke and Willis,144.9573923,-37.81531863,52,Melbourne (CBD),111282,restaurant
The Salon By Louis Roderer,144.9638295,-37.81344503,55,Melbourne (CBD),101194,restaurant
Grocery Bar East Melbourne,144.9856254,-37.81004657,613,East Melbourne,593697,restaurant
Degani Bakery Cafe,144.920988,-37.82600955,786,Port Melbourne,602733,restaurant
Cafe Sonex ,144.9542745,-37.81261513,82,Melbourne (CBD),105370,restaurant
Burger Edge,144.9798191,-37.8455379,724,Melbourne (Remainder),108646,restaurant
Tom Thumb Espresso,144.9728353,-37.8148555,18,Melbourne (CBD),111021,restaurant
Rock the Wok,144.9573923,-37.81531863,52,Melbourne (CBD),612820,restaurant
My Serendipity Cafe,144.982664,-37.84633593,870,Melbourne (Remainder),102178,restaurant
Twee's Hut Vietnamese Favourites,144.9632938,-37.81554941,34,Melbourne (CBD),105929,restaurant
Berth Restaurant,144.9418421,-37.81515588,1109,Docklands,573924,restaurant
Crumbs Organic Bakehouse,144.9311131,-37.79436218,2546,Kensington,615281,restaurant
Universal Pizza,144.966075,-37.80391066,254,Carlton,106090,restaurant
Emilia Trattoria,144.9626388,-37.81528248,44,Melbourne (CBD),105959,restaurant
The Elephant and Wheelbarrow,144.9702485,-37.81191058,57,Melbourne (CBD),101221,restaurant
Le Petite Creperie,144.9617562,-37.81416355,54,Melbourne (CBD),101187,restaurant
Melbourne City Cafe,144.9582918,-37.80471151,362,North Melbourne,103242,restaurant
Starbucks ,144.951187,-37.81501701,1101,Docklands,110843,restaurant
Aromatic Cafe,144.9735223,-37.80899046,644,East Melbourne,106917,restaurant
Paris End Cafe,144.9728919,-37.81330535,38,Melbourne (CBD),102169,restaurant
Five Points,144.956774,-37.81695942,42,Melbourne (CBD),105949,restaurant
Rice Workshop,144.9657813,-37.81224859,66,Melbourne (CBD),520595,restaurant
Treasury Eats Cafe ,144.9755868,-37.81264492,652,East Melbourne,106291,restaurant
Seedling Cafe,144.9654844,-37.81710105,15,Melbourne (CBD),103943,restaurant
Williams Bar Cafe,144.9595106,-37.81943285,12,Melbourne (CBD),103999,restaurant
Manchipster Fish And Burger Bar,144.9679591,-37.82998246,747,Southbank,627248,restaurant
Nori Sushi,144.9647653,-37.79899938,205,Carlton,573290,restaurant
Queens Kitchen & Cafe,144.9579933,-37.80988001,103,Melbourne (CBD),108084,restaurant
Travelodge Docklands,144.9502584,-37.81864992,1105,Docklands,578096,restaurant
Cafenatics,144.9467679,-37.81384049,1102,Docklands,631646,restaurant
Ajisen Ramen,144.9691823,-37.81223835,57,Melbourne (CBD),101215,restaurant
Toto's Pizza,144.9659744,-37.80449163,254,Carlton,106084,restaurant
In A Rush ,144.9555529,-37.81677365,41,Melbourne (CBD),101159,restaurant
Victoria's Secret Bar & Cafe,144.9742765,-37.80855929,644,East Melbourne,109669,restaurant
Red Capsicum,144.9600381,-37.8044181,262,Carlton,107874,restaurant
Impresso Cafe,144.9535989,-37.81229604,91,West Melbourne (Residential),598269,restaurant
Macchiato,144.9773405,-37.81154319,651,East Melbourne,565541,restaurant
Mama's Buoi,144.9632879,-37.81360425,55,Melbourne (CBD),101193,restaurant
Jasper Kitchen ,144.9596331,-37.80750344,114,Melbourne (CBD),103234,restaurant
Chimac,144.9554234,-37.80718433,435,West Melbourne (Residential),107475,restaurant
City Of Melbourne Bowls Club Inc,144.9544344,-37.81045581,92,West Melbourne (Residential),102945,restaurant
Blahnik,144.9632938,-37.81554941,34,Melbourne (CBD),105929,restaurant
Three Crowns Hotel,144.9494595,-37.80539883,423,West Melbourne (Residential),109721,restaurant
Panda Loves Fish,144.9458305,-37.821044,1108,Docklands,613252,restaurant
Little Sparrow Melbourne,144.9638386,-37.81245199,65,Melbourne (CBD),105698,restaurant
Ba Noi,144.9570408,-37.8146364,62,Melbourne (CBD),110099,restaurant
Xpressomondo,144.9654844,-37.81710105,15,Melbourne (CBD),103943,restaurant
Miyako Japanese Cuisine & Teppanyaki,144.9662623,-37.82066923,753,Southbank,110606,restaurant
Kim Sing Chinese Restaurant,144.9665517,-37.81724878,15,Melbourne (CBD),104014,restaurant
Laissez-Faire,144.9707498,-37.81492031,27,Melbourne (CBD),102067,restaurant
Shakahari Vegetarian Restaurant,144.967803,-37.79900338,218,Carlton,103689,restaurant
Loop Project Space & Bar,144.9721078,-37.8121518,48,Melbourne (CBD),503031,restaurant
Red Spice Road,144.9614687,-37.8152325,44,Melbourne (CBD),106373,restaurant
Word,144.960731,-37.81328585,64,Melbourne (CBD),104376,restaurant
Little Ipoh,144.9591368,-37.8107204,94,Melbourne (CBD),105480,restaurant
Nando's Chevron,144.9798191,-37.8455379,724,Melbourne (Remainder),108646,restaurant
Market Espresso & Trolley Hire,144.9572395,-37.80745984,113,Melbourne (CBD),110673,restaurant
Sushi Handroll,144.9651132,-37.8225552,812,Southbank,110361,restaurant
Espresso Extraction,144.9855915,-37.81618515,607,East Melbourne,109997,restaurant
Ponyfish Island,144.9650858,-37.81968992,753,Southbank,598987,restaurant
Spice Up Hot Pot Dips ,144.9622513,-37.80929555,95,Melbourne (CBD),105985,restaurant
Degani Bakery Cafe,144.9536422,-37.82253633,131,Docklands,103978,restaurant
Sambal Kampung,144.9601146,-37.8087318,104,Melbourne (CBD),103227,restaurant
Pho Nom,144.9638386,-37.81245199,65,Melbourne (CBD),105698,restaurant
The Castle Hotel,144.953035,-37.8008985,377,North Melbourne,102236,restaurant
Blu Point Caffe,144.9664575,-37.80822377,97,Melbourne (CBD),588500,restaurant
Ding Dong Lounge,144.9694031,-37.81175137,57,Melbourne (CBD),106433,restaurant
City Wine Shop ,144.9724651,-37.81099169,58,Melbourne (CBD),108985,restaurant
White Mojo,144.9603936,-37.81210735,74,Melbourne (CBD),104661,restaurant
Mamma's Boy,144.9731836,-37.81260039,38,Melbourne (CBD),108982,restaurant
Sahara Restaurant,144.9641938,-37.81107765,85,Melbourne (CBD),109304,restaurant
Naughtons Parkville Hotel,144.9575345,-37.79554181,915,Parkville,108456,restaurant
Chick-In,144.9543505,-37.81867544,31,Melbourne (CBD),102109,restaurant
Ba'get,144.9608495,-37.8100143,94,Melbourne (CBD),103216,restaurant
Merlo Coffee,144.9572395,-37.80745984,113,Melbourne (CBD),110679,restaurant
Carmine's Bistro,144.9672291,-37.80169334,247,Carlton,106233,restaurant
In A Rush 800,144.9451224,-37.81888389,1108,Docklands,573414,restaurant
Club Asuka,144.9715659,-37.81212537,48,Melbourne (CBD),101113,restaurant
Dumpling World ,144.9545688,-37.81861166,31,Melbourne (CBD),102111,restaurant
Pho n Roll,144.955444,-37.81787118,31,Melbourne (CBD),105942,restaurant
Coda Bar & Restaurant,144.9698799,-37.81579783,17,Melbourne (CBD),103930,restaurant
Brunetti City Square ,144.9674304,-37.81584777,26,Melbourne (CBD),109418,restaurant
Top End Cafe,144.9580246,-37.80033364,239,Carlton,103258,restaurant
Il Cantuccio Restaurant,144.9666464,-37.80043187,206,Carlton,106114,restaurant
